backbone,method,condition,seed,auc
siglip2-base,tent,brightness_1,123,0.8013939754154449
siglip2-base,tent,brightness_2,123,0.7944465177963542
siglip2-base,tent,brightness_3,123,0.7931934783473937
siglip2-base,tent,brightness_4,123,0.7834915155235358
siglip2-base,tent,brightness_5,123,0.7711503999210396
siglip2-base,tent,gaussian_noise_1,123,0.4795218836271871
siglip2-base,tent,gaussian_noise_2,123,0.4876768246354825
siglip2-base,tent,gaussian_noise_3,123,0.5048239237110448
siglip2-base,tent,gaussian_noise_4,123,0.5692271455717333
siglip2-base,tent,gaussian_noise_5,123,0.6139689649894616
siglip2-base,tent,jpeg_compression_1,123,0.448192637977161
siglip2-base,tent,jpeg_compression_2,123,0.4205980649789107
siglip2-base,tent,jpeg_compression_3,123,0.42368407613414616
siglip2-base,tent,jpeg_compression_4,123,0.3691573615928536
siglip2-base,tent,jpeg_compression_5,123,0.36356992850042685
siglip2-base,tent,motion_blur_1,123,0.5244118595846408
siglip2-base,tent,motion_blur_2,123,0.5030741566674719
siglip2-base,tent,motion_blur_3,123,0.48582618951919143
siglip2-base,tent,motion_blur_4,123,0.4864290449178159
siglip2-base,tent,motion_blur_5,123,0.5146198562333856
siglip2-base,tent,brightness_1,2024,0.7995078438103703
siglip2-base,tent,brightness_2,2024,0.7894827781042065
siglip2-base,tent,brightness_3,2024,0.7946724451337689
siglip2-base,tent,brightness_4,2024,0.786662910245439
siglip2-base,tent,brightness_5,2024,0.7735183238056347
siglip2-base,tent,gaussian_noise_1,2024,0.53182495523213
siglip2-base,tent,gaussian_noise_2,2024,0.5560421154595513
siglip2-base,tent,gaussian_noise_3,2024,0.5639373918387025
siglip2-base,tent,gaussian_noise_4,2024,0.5997510450982515
siglip2-base,tent,gaussian_noise_5,2024,0.6334974408956198
siglip2-base,tent,jpeg_compression_1,2024,0.39129414181966204
siglip2-base,tent,jpeg_compression_2,2024,0.40765690690708956
siglip2-base,tent,jpeg_compression_3,2024,0.37922066527762643
siglip2-base,tent,jpeg_compression_4,2024,0.3694284833276855
siglip2-base,tent,jpeg_compression_5,2024,0.3810952460127032
siglip2-base,tent,motion_blur_1,2024,0.5237239063772456
siglip2-base,tent,motion_blur_2,2024,0.5236584946086068
siglip2-base,tent,motion_blur_3,2024,0.4937925079905483
siglip2-base,tent,motion_blur_4,2024,0.49600561360444156
siglip2-base,tent,motion_blur_5,2024,0.5257761749447287
siglip2-giant,sar,brightness_1,42,0.8349772927528974
siglip2-giant,sar,brightness_2,42,0.8338009391146108
siglip2-giant,sar,brightness_3,42,0.8396223141604732
siglip2-giant,sar,brightness_4,42,0.8238987626991122
siglip2-giant,sar,brightness_5,42,0.8197692440729836
siglip2-giant,sar,gaussian_noise_1,42,0.7396276783147909
siglip2-giant,sar,gaussian_noise_2,42,0.598992277511975
siglip2-giant,sar,gaussian_noise_3,42,0.5242580503965131
siglip2-giant,sar,gaussian_noise_4,42,0.5206165124943644
siglip2-giant,sar,gaussian_noise_5,42,0.4752442218562346
siglip2-giant,sar,jpeg_compression_1,42,0.4748827649061738
siglip2-giant,sar,jpeg_compression_2,42,0.4014770441143163
siglip2-giant,sar,jpeg_compression_3,42,0.39377393992098186
siglip2-giant,sar,jpeg_compression_4,42,0.3907253853751054
siglip2-giant,sar,jpeg_compression_5,42,0.4381136354679148
siglip2-giant,sar,motion_blur_1,42,0.6630773526038857
siglip2-giant,sar,motion_blur_2,42,0.6708892948362878
siglip2-giant,sar,motion_blur_3,42,0.6693627493600411
siglip2-giant,sar,motion_blur_4,42,0.6660225163706083
siglip2-giant,sar,motion_blur_5,42,0.6674571281733892
siglip2-giant,sar,brightness_1,123,0.8376488165433197
siglip2-giant,sar,brightness_2,123,0.8364460570893518
siglip2-giant,sar,brightness_3,123,0.8388712173877477
siglip2-giant,sar,brightness_4,123,0.8197643549339624
siglip2-giant,sar,brightness_5,123,0.8109289172134002
siglip2-giant,sar,gaussian_noise_1,123,0.7579432950113046
siglip2-giant,sar,gaussian_noise_2,123,0.6255544474126157
siglip2-giant,sar,gaussian_noise_3,123,0.5458477114095379
